,index,instructor
0,0,Heidi Blakeway-Phillips
1,1,Melissa Carlisle
3,3,Anthony Bucaro
5,5,Karen Braun
6,6,Dennis Conrad
9,9,Sharon Martin
10,10,Timothy Fogarty
14,14,Gregory Jonas
15,15,Kenneth Haffey
18,18,David Johnson
19,19,Thomas King
21,21,Gary Previts
25,25,Maddalena Rumor
27,27,Nicholas Ziats
28,28,Scott Simpson
30,30,"Bryan Singelyn,Darin Croft"
33,33,"Andrew Crofton,Thomas Brantley"
34,34,Ming Li
35,35,Darin Croft
37,37,Patricia Princehouse
39,39,Bryan Singelyn
45,45,Susanne Wish-Baratz
49,49,Meghan Strong
50,50,Zachary Barsman
51,51,"Alex Steed,Stephen Hunt"
52,52,Daniel Mesaros
53,53,Michael Altose
56,56,Carie Twichell
58,58,Daniel Pistone
59,59,Joseph Rifici
60,60,Kenneth Maloney
61,61,Shane Angus
78,78,David Zagorski
80,80,Ashish Patel
96,96,Katia Almeida
97,97,Melvyn Goldstein
98,98,Lawrence Greksa
99,99,Jim Shaffer
100,100,Sara Thiam
101,101,Nicole Burt
102,102,Gabriella Celeste
105,105,Lee Hoffer
106,106,Megan Schmidt-Sane
108,108,Atwood Gaines
110,110,Yan Zhang
111,111,Janet Mc Grath
112,112,Eli Thorkelson
116,116,Brian Redmond
117,117,Richard Smith
118,118,Cynthia Beall
123,123,Jill Korbin
126,126,Yohannes Ambaye
127,127,Lihong Shi
169,169,Bridget Haas
210,210,Ramez Islambouli
215,215,Lilas Al Dakr
217,217,Maggie Popkin
220,220,Eunyoung Park
221,221,Catherine Scallen
222,222,Elizabeth Bolman
224,224,Elina Gertsman
226,226,Erin Benay
227,227,Andrea Rager
229,229,Henry Adams
256,256,Holly Witchey
259,259,Staff
292,292,George Kozmon
294,294,David King
298,298,Margaret Fischer
300,300,Adriel Meyer
301,301,Martha Lois
303,303,Tim Shuckerow
304,304,Jerry Birchfield
308,308,Sandra Noble
309,309,Sally Levine
316,316,Lori Kella
317,317,Barney Taxel
342,342,James Bonk
343,343,Crystal Myhre
344,344,Stacy McGaugh
345,345,Jeffrey Kriessler
346,346,William Janesh
347,347,R Luck
348,348,James Mihos
355,355,Gregory Harmon
356,356,Li Wang
359,359,Lakshmi Balasubramanyan
360,360,Jose Olavarria Baeza
361,361,Scott Fine
362,362,Leonardo Madureira
363,363,"Marybeth Keeler,Ralitsa Petkova"
366,366,Peter Ritchken
367,367,"Marybeth Keeler,Peter Ritchken"
369,369,"Lakshmi Balasubramanyan,Marybeth Keeler"
371,371,"Leonardo Madureira,Marybeth Keeler"
377,377,Julia Knopes
378,378,Monica Gerrek
379,379,Jason Gatliff
381,381,Eileen Anderson-Fye
382,382,Mark Aulisio
383,383,Aaron Goldenberg
385,385,Patricia Marshall
387,387,Susan Stagno
388,388,Stuart Youngner
389,389,Marsha Michie
390,390,Jonathan Sadowsky
392,392,Insoo Hyun
393,393,"Michael Householder,Suzanne Rivera"
397,397,Leah Jeunnette
401,401,Sana Loue
409,409,"Eileen Anderson-Fye,Jonathan Sadowsky"
415,415,Lauren Sankary
422,422,Jessica Berg
428,428,Nicole Deming
429,429,Robert Guerin
430,430,Oliver Schirokauer
432,432,Kavita Arora
434,434,Martin Snider
435,435,Susan Wang
440,440,Hung-Ying Kao
441,441,Paul Carey
442,442,Focco Van den Akker
443,443,Vivien Yee
444,444,Nelson Phillips
445,445,Marianne Pusztai-Carey
447,447,William Merrick
448,448,David Samols
453,453,"Stanley Adoro,Stephen Fink"
454,454,Colleen Croniger
456,456,"Focco Van den Akker,Hung-Ying Kao"
458,458,"Chris Dealwis,Sichun Yang,Yoshikazu Imanishi"
459,459,David Buchner
460,460,Menachem Shoham
461,461,Eckhard Jankowsky
464,464,David Danielpour
465,465,Jeffery Coller
466,466,Pamela Davis
469,469,Paul Fox
471,471,Saba Valadkhan
473,473,Kristian Baker
474,474,Jonatha Gott
475,475,Timothy Nilsen
476,476,Marion Skalweit
477,477,Ahmad Khalil
478,478,Donny Licatalosi
479,479,Jonathan Stamler
480,480,Scott Welford
481,481,Robert Bonomo
482,482,Johannes Von Lintig
483,483,Jun Qin
484,484,Maria Hatzoglou
509,509,Stanton Gerson
516,516,Clifford Harding
521,521,Kurt Runge
524,524,John Letterio
525,525,Afshin Dowlati
535,535,Thomas Gerken
536,536,Dianne Kube
537,537,Rebecca Benard
538,538,Michael Benard
539,539,Leena Chakravarty
559,559,Valerie Haywood
564,564,Barbara Kuemerle
565,565,Susan Burden-Gulley
574,574,Christopher Cullis
579,579,Peter Thomas
580,580,Ronald Oldfield
582,582,Gurkan Bebek
585,585,Gavin Svenson
587,587,Jessica Fox
588,588,Nancy DiIulio
589,589,Kimberly Crown
591,591,Deborah Harris
593,593,Yolanda Fortenberry
596,596,Richard Drushel
598,598,Jean Moriuchi
600,600,Sarah Diamond
602,602,Radhika Atit
603,603,Ryan Martin
605,605,Hillel Chiel
606,606,Roy Ritzmann
607,607,Brian McDermott
610,610,Arnold Caplan
613,613,Stephen Haynesworth
615,615,Charles Rozek
616,616,Robin Snyder
617,617,Mark Willis
619,619,Emmitt Jolly
620,620,Claudia Mizutani
622,622,Karen Abbott
626,626,Sarah Bagby
628,628,David Burke
630,630,Steven Emancipator
631,631,Kristen Lukas
633,633,John Nedrud
634,634,Helen Salz
635,635,Steven Sanders
637,637,Peter Zimmerman
639,639,M E . Medof
640,640,Denise Su
641,641,Juliana Medeiros
642,642,Nicole Gunter
644,644,Katherine Stuble
645,645,Diana Koester
649,649,Ana Locci
686,686,Patricia Dennis
864,864,Matthias Buck
872,872,Andrea Mario Pompeo Romani
946,946,Umut Gurkan
1028,1028,Timothy Kern
1036,1036,George Dubyak
1037,1037,David Stanek
1038,1038,"Lakshmi Shankar Ramachandran,Marybeth Keeler"
1039,1039,Drew Meyer
1040,1040,Gaius Takor
1056,1056,Benjamin Sturtz
1063,1063,Krista Cunningham
1064,1064,Anthony Pearson
1068,1068,Jeremy Hess
1077,1077,Gregory Tochtrop
1082,1082,Clemens Burda
1084,1084,Daniel Scherson
1088,1088,Anna Cristina Samia
1089,1089,Thomas Gray
1090,1090,Fu-Sen Liang
1091,1091,Michael Zagorski
1092,1092,Blanton Tolbert
1095,1095,Genevieve Sauve
1096,1096,Carlos Crespo
1097,1097,Robert Salomon
1099,1099,Alfred Anderson
1103,1103,Raul Erick Juarez Hernandez
1104,1104,Malcolm Kenney
1105,1105,Irene Nga Wing Lee
1108,1108,John Protasiewicz
1113,1113,Rekha Srinivasan
1118,1118,Chris Dealwis
1141,1141,Michael Kenney
1152,1152,Emily Pentzer
1153,1153,Shane Parker
1154,1154,"Anna Cristina Samia,Carlos Crespo,Clemens Burda,Daniel Scherson,Drew Meyer,Genevieve Sauve"
1204,1204,Lei Zhu
1235,1235,Thomas Kelley
1252,1252,Yanming Wang
1256,1256,Man-Lih Chai
1264,1264,Jonathan Tan
1268,1268,Peter Yang
1277,1277,Piet A J De Boer
1278,1278,Alan Tartakoff
1279,1279,Neena Singh
1280,1280,Stanley Hazen
1281,1281,Roy Silverstein
1282,1282,Thomas McIntyre
1283,1283,Andrea Ladd
1285,1285,Jeremy Rich
1286,1286,Alan Levine
1292,1292,Paul Dicorleto
1293,1293,Gary Landreth
1295,1295,Daniel Popkin
1297,1297,Evelyn Adkins
1298,1298,Rachel Sternberg
1299,1299,Chin-Tai Kim
1301,1301,Timothy Wutrich
1304,1304,Paul Iversen
1307,1307,Peter Knox
1311,1311,"Amy Nowacki,Christine Moravec"
1314,1314,"Christine Moravec,Paola Raska"
1315,1315,"Christine Moravec,Michael Lincoff"
1316,1316,"Christine Moravec,Gerald Beck"
1318,1318,Christine Moravec
1319,1319,"Christine Moravec,Tanya Moore"
1324,1324,Fey Parrill
1325,1325,Todd Oakley
1326,1326,Vera Tobin
1327,1327,William Deal
1329,1329,Mark Turner
1330,1330,Yasuhiro Shirai
1343,1343,Peter Whitehouse
1359,1359,Genine Apidone
1362,1362,Kathryn Rothenberg
1363,1363,Lisa Freebairn
1364,1364,Jean Nisenboum
1366,1366,Shirley Prok
1368,1368,Angela Ciccia
1369,1369,Rachel Mulheren
1371,1371,Kathryn McNeal
1374,1374,Lauren Calandruccio
1378,1378,Barbara Lewis
1381,1381,Heath Demaree
1390,1390,Lee Thompson
1391,1391,"Jean Nisenboum,Kathryn McNeal"
1395,1395,"Bernard Henri,Kathryn McNeal,Lauren Masuga"
1415,1415,James Spilsbury
1421,1421,Thomas Love
1436,1436,Mary Dolansky
1439,1439,"James Spilsbury,Lauren Sankary"
1441,1441,Douglas Einstadter
1442,1442,Wael Jaber
1443,1443,Suchitra Nelson
1444,1444,Amit Gupta
1445,1445,Kristie Ross
1446,1446,John Dumot
1447,1447,Nabil Bissada
1448,1448,Hubert Fernandez
1449,1449,"Anna Maria Hibbs,James Reynolds"
1450,1450,Thomas Sferra
1451,1451,Curtis Donskey
1452,1452,Christine Jellis
1453,1453,Irene Dietz
1454,1454,Anna Maria Hibbs
1455,1455,Deborah Kwon
1456,1456,James Reynolds
1458,1458,John Thornton
1459,1459,Ashwini Sehgal
1461,1461,Kevin Cooper
1462,1462,John Kirwan
1463,1463,Scott Williams
1465,1465,Jill Barnholtz-Sloan
1466,1466,Robert Igo
1467,1467,Kurt Stange
1468,1468,Johnie Rose
1469,1469,Abdus Sattar
1470,1470,"James Spilsbury,Michael Kattan"
1472,1472,Brandon Gregoire
1473,1473,Yuting Zhao
1474,1474,Richard Oaxaca
1475,1475,Ziying Cui
1477,1477,Danielle Dowler
1478,1478,Deepak Sarma
1479,1479,Hannah Blake
1481,1481,Karen Potter
1482,1482,Gary Galbraith
1484,1484,Carrie Langguth
1486,1486,Bradford Petot
1502,1502,Sayan Chatterjee
1503,1503,Satish Nambisan
1504,1504,Youngjin Yoo
1505,1505,Richard Boland
1507,1507,Kalle Lyytinen
1508,1508,Jagdip Singh
1514,1514,Yinghui Wu
1515,1515,Mehmet Koyuturk
1516,1516,Roger French
1518,1518,Laura Bruckman
1520,1520,Jeffrey Yarus
1523,1523,"Matthew Williams,Sam Senyo"
1524,1524,"Efstathios Karathanasis,Gerald Saidel"
1525,1525,"Andrew Shoffstall,Anirban Sen Gupta,Nicholas Ziats"
1527,1527,"Abidemi Ajiboye,Debra McGivney,Matthew Williams"
1528,1528,"Horst von Recum,Zheng-Rong Lu"
1529,1529,Xin Yu
1530,1530,Anirban Sen Gupta
1531,1531,Colin Drummond
1532,1532,"Gerald Saidel,Harihara Baskaran"
1536,1536,"Abidemi Ajiboye,Matthew Williams,Xin Yu"
1539,1539,"Colin Drummond,Matthew Williams"
1541,1541,Miklos Gratzl
1543,1543,Steven Eppell
1544,1544,Andrew Rollins
1545,1545,Horst von Recum
1546,1546,Eben Alsberg
1547,1547,James Basilion
1548,1548,Harihara Baskaran
1549,1549,Dominique Durand
1551,1551,Kenneth Gustafson
1552,1552,Robert Kirsch
1553,1553,Abidemi Ajiboye
1554,1554,P Peckham
1555,1555,Gerald Saidel
1557,1557,Dustin Tyler
1558,1558,David Wilson
1560,1560,Patrick Crago
1561,1561,Jeffrey Duerk
1562,1562,Zheng-Rong Lu
1563,1563,Robert Brown
1565,1565,"David Wilson,Xin Yu,Zhenghong Lee"
1567,1567,"Dominique Durand,Kenneth Laurita"
1569,1569,Michael Martens
1571,1571,"Horst von Recum,Pallavi Tiwari,Satish Viswanath"
1573,1573,"Joseph Jankowski,Theodore Theofrastous"
1578,1578,"Enrique Saldivar,Mehran Mehregany"
1580,1580,Srinivas Raghavan
1582,1582,"Andrew Rollins,Jeffrey Capadona"
1601,1601,Francis Merat
1603,1603,"Jeffrey Capadona,Kenneth Gustafson,Sam Senyo"
1606,1606,Sam Senyo
1627,1627,Zhenghong Lee
1633,1633,David Katz
1635,1635,Cameron McIntyre
1638,1638,Anand Ramamurthi
1639,1639,Raymond Muzic
1640,1640,Ronald Triolo
1651,1651,Jeffrey Capadona
1652,1652,George Muschler
1653,1653,Agata Exner
1654,1654,Andrew Shoffstall
1655,1655,Anant Madabhushi
1658,1658,Andrei Maiseyeu
1659,1659,Vincent Hascall
1663,1663,"Kenneth Gustafson,Patrick Crago"
1665,1665,"David Wilson,Debra McGivney"
1667,1667,Kenneth Laurita
1668,1668,Mark Griswold
1671,1671,Kevin Kilgore
1673,1673,Pallavi Tiwari
1681,1681,Nicole Seiberlich
1687,1687,Satish Viswanath
1696,1696,Efstathios Karathanasis
1698,1698,Musa Audu
1705,1705,Stephen Fening
1721,1721,Kathleen Derwin
1727,1727,David Rosenbaum
1729,1729,James Anderson
1734,1734,D Vince
1735,1735,Barry Wessels
1744,1744,Antonie Van Den Bogert
1747,1747,Albert Waldo
1753,1753,Alex Huang
1758,1758,Vijay Krishna
1761,1761,J. Kevin Donahue
1765,1765,Michael Jenkins
1766,1766,Isabelle Deschenes
1768,1768,Dawn Taylor
1771,1771,Daniel Lacks
1772,1772,Rohan Akolkar
1774,1774,Donald Feke
1776,1776,Uziel Landau
1777,1777,Chung-Chiun Liu
1778,1778,Heidi Martin
1779,1779,Ramanathan Sankaran
1780,1780,Robert Savinell
1781,1781,Jesse Wainright
1782,1782,Burcu Gurkan
1783,1783,Julie Renner
1784,1784,John Angus
1785,1785,Christine Duval
1811,1811,Michael Grossner
1912,1912,Gary Wnek
1954,1954,Katie Wheaton
1957,1957,YeongAe Heo
1958,1958,Michael Pollino
1959,1959,Huichun Zhang
1960,1960,Yue Li
1961,1961,Christian Carloni
1965,1965,Terrance Cybulski
1966,1966,Ruth Klee
1969,1969,Adel Saada
1972,1972,Xiong Yu
1974,1974,Kurt Rhoads
1987,1987,Xiangwu Zeng
2008,2008,Jonathan Ernest
2010,2010,Jenny Hawkins
2011,2011,Andrew Grible
2013,2013,Sining Wang
2014,2014,Martine Lussier
2018,2018,Jeffrey Wolcowitz
2019,2019,Heyu Xiong
2020,2020,Scott Shane
2021,2021,Daniel Shoag
2025,2025,Roman Sheremeta
2028,2028,Mark Sniderman
2033,2033,Mark Votruba
2040,2040,"Angela Miller,Autumn Beechler Stebing,Camala Ross,Molly Watkins,Sara Spiegler"
2041,2041,"Autumn Beechler Stebing,Molly Watkins"
2042,2042,Mohan Reddy
2046,2046,Richard Boyatzis
2054,2054,John Stephens
2066,2066,James Gaskin
2070,2070,Philip Cola
2078,2078,Eileen Doherty
2084,2084,James Eller
2085,2085,Susan Herron
2086,2086,Denise Davis
2087,2087,David Bellini
2088,2088,Joseph Marencik
2094,2094,Harold Connamacher
2104,2104,Erman Ayday
2105,2105,Kenneth Loparo
2109,2109,Evren Gurkan Cavusoglu
2115,2115,Vincenzo Liberatore
2138,2138,Matthew Sargent
2139,2139,Aziz Nazha
2140,2140,Christos Papachristou
2141,2141,Vira Chankong
2142,2142,Shuai Xu
2146,2146,Daniel Saab
2147,2147,Mehran Mehregany
2149,2149,Michael Rabinovich
2151,2151,Soumyajit Mandal
2152,2152,Ronald Loui
2158,2158,Xusheng Xiao
2160,2160,Sree Sreenath
2161,2161,Yanfang Ye
2162,2162,Pan Li
2163,2163,Behnam Malakooti
2165,2165,Murat Cavusoglu
2166,2166,Marija Prica
2167,2167,Larry Sears
2168,2168,Gregory Lee
2171,2171,Amirhossein Sajadi
2174,2174,Michael Fu
2176,2176,Michael Lewicki
2177,2177,H Podgurski
2181,2181,Seyed Hossein Miri Lavasani
2187,2187,Pedram Mohseni
2188,2188,Soumya Ray
2189,2189,Marc Buchner
2191,2191,Wei Lin
2193,2193,Ming-Chun Huang
2199,2199,An Wang
2204,2204,Jing Li
2217,2217,"H Podgurski,Wei Lin"
2221,2221,Andrew Plassard
2244,2244,Wyatt Newman
2251,2251,Christian Zorman
2253,2253,Roger Quinn
2286,2286,Mario Garcia Sanz
2290,2290,Xiang Zhang
2292,2292,Philip Feng
2295,2295,Mingguo Hong
2300,2300,Satya Sahoo
2302,2302,Roberto Fernandez Galan
2320,2320,Alexis Abramson
2352,2352,Mark Allman
2362,2362,James Van Orman
2363,2363,Sharmila Giri
2364,2364,Peter Whiting
2365,2365,Steven Hauck
2366,2366,Peter Mc Call
2367,2367,Nicholas Sutfin
2369,2369,Ralph Harvey
2373,2373,Beverly Saylor
2414,2414,David Schiraldi
2415,2415,Hatsuo Ishida
2416,2416,Rigoberto Advincula
2417,2417,Eric Baer
2418,2418,Liming Dai
2419,2419,Michael-Jon Hore
2422,2422,Joao Maia
2425,2425,Ica Manas-Zloczower
2426,2426,Valentin Rodionov
2427,2427,Svetlana Morozova
2453,2453,Jonathan Pokorski
2462,2462,Alexander Jamieson
2468,2468,YaTing Liao
2548,2548,Jason Bradshaw
2557,2557,Richard Bachmann
2560,2560,Brian Maxwell
2561,2561,Sunniva Collins
2562,2562,"Ozan Akkus,Yingchun Yuan"
2571,2571,Vikas Prakash
2572,2572,Stephen Hostler
2574,2574,Ozan Akkus
2575,2575,John Lewandowski
2577,2577,Kathryn Daltorio
2578,2578,Paul Barnhart
2582,2582,Chirag Kharangate
2583,2583,Yasuhiro Kamotani
2587,2587,Clare Rimnac
2588,2588,Yingchun Yuan
2589,2589,Kiju Lee
2590,2590,James Drake
2593,2593,Bo Li
2594,2594,Malcolm Cooke
2597,2597,Fumiaki Takahashi
2614,2614,Jaikrishnan Kadambi
2622,2622,James Tien
2710,2710,Robert Gao
2736,2736,Vedha Nayagam
2778,2778,Harlow Cohen
2793,2793,Kamlesh Mathur
2798,2798,Melvin Smith
2804,2804,George Vairaktarakis
2836,2836,Ronald Fry
2845,2845,James McGuffin-Cawley
2847,2847,Jennifer Carter
2849,2849,William Baeslack
2850,2850,David Matthiesen
2852,2852,Alp Sehirlioglu
2854,2854,Gerhard Welsch
2855,2855,Mark De Guire
2866,2866,Matthew Willard
2880,2880,Frank Ernst
2887,2887,Peter Lagerlof
2914,2914,David Schwam
2952,2952,Leah Davydov
2953,2953,Camila Ring
2954,2954,Ciarra Bona
2955,2955,Megan Jewell
2956,2956,Philip Derbesy
2957,2957,Hayley Verdi
2958,2958,Joshua Hoeynck
2959,2959,James Sheeler
2960,2960,Thrity Umrigar
2961,2961,Sarah Gridley
2964,2964,Justine Clites
2965,2965,Erika Olbricht
2966,2966,Gregory Vovos
2969,2969,William Marling
2970,2970,Magdalena Vinter
2973,2973,Athena Vrettos
2975,2975,Kimberly Claspy
2977,2977,Robert Spadoni
2981,2981,Mary Grimm
2986,2986,Nese Devenot
2989,2989,John Orlock
2990,2990,Kurt Koenigsberger
2992,2992,Martha Schaffer
2994,2994,Helen Lyons-McFarland
2996,2996,Katherine Robisch
3000,3000,Robert Rowan
3001,3001,Daniel Luttrull
3002,3002,Michael Parker
3021,3021,Timothy Beal
3024,3024,Christopher Flint
3025,3025,Michael Clune
3036,3036,Martha Woodmansee
3039,3039,"Christopher Miller,Marc Buchner"
3091,3091,Joachim Mayer
3097,3097,Theodore Theofrastous
3105,3105,Anne Mcginness
3106,3106,John Flores
3108,3108,Marta Copertari
3112,3112,Thomas Nosek
3113,3113,Jonathan Smith
3115,3115,Ethan Singer
3133,3133,Claudia Anderson
3134,3134,Charlotte Sanpere
3142,3142,Fabienne Pizot-Haymore
